Model,AUC,Sensitivity,PPV,F1,F2,MCC,Threshold,Train_N,Test_N,N_Features_PCA,N_Features_Original
LogisticRegression,0.7206477732793523,0.7692307692307693,0.5882352941176471,0.6666666666666666,0.7246376811594203,0.3944724048765609,0.4800000000000003,128,32,8,10
RandomForest,0.728744939271255,0.6153846153846154,0.7272727272727273,0.6666666666666666,0.6349206349206349,0.47306844125299624,0.5600000000000004,128,32,8,10
LightGBM,0.728744939271255,0.7692307692307693,0.625,0.6896551724137931,0.7352941176470589,0.44539933408304444,0.40000000000000024,128,32,8,10
SVM,0.7489878542510122,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.4817813765182186,0.42000000000000026,128,32,8,10
